Name,Email,Major
Johnny Test20992,jt20992@illinois.edu,"Engineering Technology & Management for Agricultural Systems, BS"
Johnny Test12265,jt12265@illinois.edu,"Geology, BS"
Johnny Test11171,jt11171@illinois.edu,"Instrumental Music, BMUS"
Johnny Test12587,jt12587@illinois.edu,"Architectural Studies, BS"
Johnny Test37722,jt37722@illinois.edu,"Theatre, MFA"
Johnny Test31117,jt31117@illinois.edu,"Management, BS"
Johnny Test6355,jt6355@illinois.edu,"Atmospheric Sciences, BSLAS"
Johnny Test38442,jt38442@illinois.edu,"VMS - Comparative Biosciences, MS"
Johnny Test34013,jt34013@illinois.edu,"Nutrition and Health, BS"
Johnny Test27242,jt27242@illinois.edu,"Athletic Training, BS"
Johnny Test19003,jt19003@illinois.edu,"Economics, BALAS"
Johnny Test26957,jt26957@illinois.edu,"Kinesiology, BS & Public Health, MPH"
Johnny Test4181,jt4181@illinois.edu,"Computer Science, PhD"
Johnny Test45587,jt45587@illinois.edu,"Art Education, PhD"
Johnny Test9734,jt9734@illinois.edu,"Astronomy, BSLAS"
Johnny Test12112,jt12112@illinois.edu,"Sociology, BALAS"
Johnny Test54122,jt54122@illinois.edu,"Education Policy, Organization & Leadership, MA"
Johnny Test29248,jt29248@illinois.edu,"Chemistry, BS"
Johnny Test6677,jt6677@illinois.edu,"Sustainability in Food & Environmental Systems, BS"
Johnny Test20823,jt20823@illinois.edu,"Creative Writing, BALAS"
Johnny Test32150,jt32150@illinois.edu,"Spanish, BALAS"
Johnny Test28677,jt28677@illinois.edu,"Crop Sciences, BS"
Johnny Test45721,jt45721@illinois.edu,"Sustainable Urban Design, MSUD"
Johnny Test27733,jt27733@illinois.edu,"Journalism, BS"
Johnny Test4845,jt4845@illinois.edu,"Electrical & Computer Engineering, PhD"
Johnny Test1295,jt1295@illinois.edu,"Computer Science + Anthropology, BSLAS"
Johnny Test48660,jt48660@illinois.edu,"Biophysics & Quantitative Biology, PhD"
Johnny Test45564,jt45564@illinois.edu,"Educational Psychology, EdM"
Johnny Test17111,jt17111@illinois.edu,"Italian, BALAS"
Johnny Test27846,jt27846@illinois.edu,"Psychology, BSLAS"
Johnny Test31948,jt31948@illinois.edu,"Plant Biotechnology, BS"
Johnny Test32063,jt32063@illinois.edu,"Industrial Design, BFA"
Johnny Test49592,jt49592@illinois.edu,"Advertising, MS"
Johnny Test12376,jt12376@illinois.edu,"Slavic Studies, BALAS"
Johnny Test24082,jt24082@illinois.edu,Chemistry Teaching
Johnny Test10584,jt10584@illinois.edu,"Sustainable Design, BS"
Johnny Test15361,jt15361@illinois.edu,"Germanic Studies, BALAS"
Johnny Test13274,jt13274@illinois.edu,"Astronomy + Data Science, BSLAS"
Johnny Test1569,jt1569@illinois.edu,"Computer Science + Animal Sciences, BS"
Johnny Test12616,jt12616@illinois.edu,"Plant Biotechnology, BS"
Johnny Test12246,jt12246@illinois.edu,"Geology, BS"
Johnny Test51262,jt51262@illinois.edu,"Law, JSD"
Johnny Test37551,jt37551@illinois.edu,Romance Linguistics
Johnny Test21167,jt21167@illinois.edu,"Agricultural Leadership, Education, & Communications, BS"
Johnny Test43709,jt43709@illinois.edu,"Statistics, MS"
Johnny Test13030,jt13030@illinois.edu,"Industrial Engineering, BS"
Johnny Test35449,jt35449@illinois.edu,Chemistry Teaching
Johnny Test52159,jt52159@illinois.edu,"Molecular & Cellular Biology, MS"
Johnny Test2247,jt2247@illinois.edu,"Computer Science + Animal Sciences, BS"
Johnny Test2981,jt2981@illinois.edu,"Computer Science + Linguistics, BSLAS"
Johnny Test47407,jt47407@illinois.edu,"Health Administration, MHA"
Johnny Test4494,jt4494@illinois.edu,"Electrical & Computer Engineering, MS"
Johnny Test29582,jt29582@illinois.edu,"Speech & Hearing Science, BS"
Johnny Test10494,jt10494@illinois.edu,"Urban Studies & Planning, BA"
Johnny Test11556,jt11556@illinois.edu,"Mechanical Engineering, BS"
Johnny Test46679,jt46679@illinois.edu,"Information Sciences, PhD"
Johnny Test16294,jt16294@illinois.edu,"Instrumental Music, BMUS"
Johnny Test32996,jt32996@illinois.edu,"Astronomy + Data Science, BSLAS"
Johnny Test25582,jt25582@illinois.edu,"Chemistry, BSLAS"
Johnny Test23343,jt23343@illinois.edu,"Astronomy, BSLAS"
Johnny Test47940,jt47940@illinois.edu,"Ecology, Evolution, & Conservation Biology, MS"
Johnny Test12552,jt12552@illinois.edu,"Chemistry, BSLAS"
Johnny Test5899,jt5899@illinois.edu,"Computer Science, PhD"
Johnny Test108,jt108@illinois.edu,"Computer Science + Linguistics, BSLAS"
Johnny Test54318,jt54318@illinois.edu,"Livestock Systems Health, MVS"
Johnny Test32800,jt32800@illinois.edu,"Agricultural & Biological Engineering, BS"
Johnny Test35157,jt35157@illinois.edu,"Theatre, BFA"
Johnny Test41048,jt41048@illinois.edu,"Human Development & Family Studies, PhD"
Johnny Test38071,jt38071@illinois.edu,"Law, MSL"
Johnny Test21509,jt21509@illinois.edu,"Kinesiology, BS & Public Health, MPH"
Johnny Test31011,jt31011@illinois.edu,"Voice, BMUS"
Johnny Test707,jt707@illinois.edu,"Computer Science + Physics, BS"
Johnny Test37412,jt37412@illinois.edu,"Bioengineering, PhD"
Johnny Test40395,jt40395@illinois.edu,"Geography, MS"
Johnny Test43311,jt43311@illinois.edu,"Epidemiology, MPH"
Johnny Test48010,jt48010@illinois.edu,"Health Administration, MHA"
Johnny Test53609,jt53609@illinois.edu,"Portuguese, MA"
Johnny Test40439,jt40439@illinois.edu,"French, MA"
Johnny Test25576,jt25576@illinois.edu,"Philosophy, BALAS"
Johnny Test18596,jt18596@illinois.edu,"Dance, BFA"
Johnny Test11879,jt11879@illinois.edu,"Advertising, BS"
Johnny Test25876,jt25876@illinois.edu,"Creative Writing, BALAS"
Johnny Test43824,jt43824@illinois.edu,"Portuguese, PhD"
Johnny Test10233,jt10233@illinois.edu,"Recreation, Sport & Tourism, BS"
Johnny Test25357,jt25357@illinois.edu,"Innovation, Leadership & Engineering Entrepreneurship, BS (ILEE)"
Johnny Test51484,jt51484@illinois.edu,"Materials Engineering, MENG"
Johnny Test47516,jt47516@illinois.edu,"Mental Health Counseling, MS"
Johnny Test21043,jt21043@illinois.edu,"Studio Art, BASA"
Johnny Test6313,jt6313@illinois.edu,"Materials Science & Engineering, BS"
Johnny Test39022,jt39022@illinois.edu,"Neuroscience, PhD"
Johnny Test25282,jt25282@illinois.edu,"Voice, BMUS"
Johnny Test19854,jt19854@illinois.edu,"Anthropology, BALAS"
Johnny Test6157,jt6157@illinois.edu,"Brain & Cognitive Science, BSLAS"
Johnny Test21443,jt21443@illinois.edu,"African American Studies, BALAS"
Johnny Test19389,jt19389@illinois.edu,"Music, BA"
Johnny Test23175,jt23175@illinois.edu,"Lyric Theatre, BMA"
Johnny Test28818,jt28818@illinois.edu,"Kinesiology, BS & Dance, BA"
Johnny Test53567,jt53567@illinois.edu,"Atmospheric Sciences, PhD"
Johnny Test2999,jt2999@illinois.edu,"Computer Science + Advertising, BS"
Johnny Test53277,jt53277@illinois.edu,"Systems & Entrepreneurial Engineering, MS"
Johnny Test12089,jt12089@illinois.edu,"Kinesiology, BS & Public Health, MPH"
Johnny Test53801,jt53801@illinois.edu,"Educational Psychology, MA"
Johnny Test51665,jt51665@illinois.edu,"Bioprocessing & Bioenergy, MS - Professional Science Master’s"
Johnny Test49297,jt49297@illinois.edu,"Environmental Geology, MS"
Johnny Test51492,jt51492@illinois.edu,"Entomology, MS"
Johnny Test15155,jt15155@illinois.edu,"Landscape Architecture, BLA"
Johnny Test18664,jt18664@illinois.edu,"Bioengineering, BS"
Johnny Test27530,jt27530@illinois.edu,"Instrumental Music, BMUS"
Johnny Test1293,jt1293@illinois.edu,"Computer Science, BS"
Johnny Test18738,jt18738@illinois.edu,"Materials Science & Engineering, BS"
Johnny Test16444,jt16444@illinois.edu,"Comparative & World Literature, BALAS"
Johnny Test52296,jt52296@illinois.edu,"Teaching of Latin, MA"
Johnny Test15177,jt15177@illinois.edu,"Mechanical Engineering, BS"
Johnny Test20542,jt20542@illinois.edu,"Biochemistry, BS"
Johnny Test44896,jt44896@illinois.edu,"Art History, PhD"
Johnny Test35712,jt35712@illinois.edu,"Computer Engineering, BS"
Johnny Test21428,jt21428@illinois.edu,"African American Studies, BALAS"
Johnny Test25611,jt25611@illinois.edu,"Atmospheric Sciences, BSLAS"
Johnny Test4056,jt4056@illinois.edu,"Electrical & Computer Engineering, MEng"
Johnny Test28692,jt28692@illinois.edu,"Crop Sciences, BS"
Johnny Test15433,jt15433@illinois.edu,"Civil Engineering, BS"
Johnny Test46544,jt46544@illinois.edu,"French, MA"
Johnny Test10614,jt10614@illinois.edu,"Bioengineering, BS"
Johnny Test35436,jt35436@illinois.edu,"Operations Management, BS"
Johnny Test23051,jt23051@illinois.edu,"Management, BS"
Johnny Test47260,jt47260@illinois.edu,"Nutritional Sciences, PhD"
Johnny Test17612,jt17612@illinois.edu,"Dietetics and Nutrition, BS"
Johnny Test46331,jt46331@illinois.edu,"Comparative Literature, PhD"
Johnny Test13318,jt13318@illinois.edu,"Asian American Studies, BALAS"
Johnny Test53010,jt53010@illinois.edu,"Classics, MA"
Johnny Test51702,jt51702@illinois.edu,"Livestock Systems Health, MVS"
Johnny Test52908,jt52908@illinois.edu,"East Asian Languages & Cultures, PhD"
Johnny Test50845,jt50845@illinois.edu,"Finance, PhD"
Johnny Test7056,jt7056@illinois.edu,"Italian, BALAS"
Johnny Test31329,jt31329@illinois.edu,"Comparative & World Literature, BALAS"
Johnny Test19793,jt19793@illinois.edu,"Interdisciplinary Health Sciences, BS"
Johnny Test4846,jt4846@illinois.edu,"Bioinformatics, MS"
Johnny Test44010,jt44010@illinois.edu,"Audiology, AuD"
Johnny Test39875,jt39875@illinois.edu,"Entomology, PhD"
Johnny Test5962,jt5962@illinois.edu,"Computer Science, MCS"
Johnny Test39928,jt39928@illinois.edu,"Portuguese, PhD"
Johnny Test38375,jt38375@illinois.edu,"Anthropology, PhD"
Johnny Test41410,jt41410@illinois.edu,"Education Policy, Organization & Leadership, EdD"
Johnny Test49142,jt49142@illinois.edu,"Nuclear, Plasma, & Radiological Engineering, MS"
Johnny Test34734,jt34734@illinois.edu,"Religion, BALAS"
Johnny Test8310,jt8310@illinois.edu,"Musicology, BMUS"
Johnny Test31613,jt31613@illinois.edu,"Architectural Studies, BS"
Johnny Test49624,jt49624@illinois.edu,"Landscape Architecture, PhD"
Johnny Test48234,jt48234@illinois.edu,"Finance, PhD"
Johnny Test21652,jt21652@illinois.edu,"Advertising, BS"
Johnny Test18541,jt18541@illinois.edu,"Dance, BA"
Johnny Test14983,jt14983@illinois.edu,"Teaching of German, BA"
Johnny Test46189,jt46189@illinois.edu,"Art & Design, MFA"
Johnny Test36759,jt36759@illinois.edu,"Innovation, Leadership & Engineering Entrepreneurship, BS (ILEE)"
Johnny Test31457,jt31457@illinois.edu,"Urban Studies & Planning, BA"
Johnny Test46070,jt46070@illinois.edu,"Business Administration, PhD"
Johnny Test4085,jt4085@illinois.edu,"Electrical & Computer Engineering, MEng"
Johnny Test47134,jt47134@illinois.edu,"Ecology, Evolution, & Conservation Biology, PHD"
Johnny Test23123,jt23123@illinois.edu,"Italian, BALAS"
Johnny Test19025,jt19025@illinois.edu,"Economics, BALAS"
Johnny Test32672,jt32672@illinois.edu,"German (Teaching), BA"
Johnny Test7396,jt7396@illinois.edu,"Jazz Performance, BMUS"
Johnny Test27631,jt27631@illinois.edu,"Nuclear, Plasma, & Radiological Engineering, BS"
Johnny Test48869,jt48869@illinois.edu,"VMS- Pathobiology, MS"
Johnny Test46185,jt46185@illinois.edu,"Biochemistry, PhD"
Johnny Test24525,jt24525@illinois.edu,"Jazz Performance, BMUS"
Johnny Test47998,jt47998@illinois.edu,"Economics, PhD"
Johnny Test4729,jt4729@illinois.edu,"Electrical & Computer Engineering, MS"
Johnny Test41625,jt41625@illinois.edu,"Statistics, PhD"
Johnny Test3482,jt3482@illinois.edu,"Computer Science + Music, BS"
Johnny Test33489,jt33489@illinois.edu,"Linguistics and Teaching English as a Second Language (TESL), BALAS"
Johnny Test30109,jt30109@illinois.edu,"Agricultural Leadership, Education, & Communications, BS"
Johnny Test2353,jt2353@illinois.edu,"Computer Science, BS"
Johnny Test17322,jt17322@illinois.edu,"Information Systems, BS"
Johnny Test43108,jt43108@illinois.edu,"Agricultural & Applied Economics, MS"
Johnny Test28214,jt28214@illinois.edu,"Statistics, BSLAS"
Johnny Test31228,jt31228@illinois.edu,"Gender & Women's Studies, BALAS"
Johnny Test17552,jt17552@illinois.edu,"Classics, BALAS"
Johnny Test12285,jt12285@illinois.edu,"Engineering Technology & Management for Agricultural Systems, BS"
Johnny Test38097,jt38097@illinois.edu,"Translation & Interpreting, MA"
Johnny Test1917,jt1917@illinois.edu,"Computer Science + Animal Sciences, BS"
Johnny Test48130,jt48130@illinois.edu,"Theatre, PhD"
Johnny Test8709,jt8709@illinois.edu,"Astrophysics, BSLAS"
Johnny Test17740,jt17740@illinois.edu,"Computer Engineering, BS"
Johnny Test41615,jt41615@illinois.edu,Choral Music
Johnny Test7384,jt7384@illinois.edu,"Latina/Latino Studies, BALAS"
Johnny Test26090,jt26090@illinois.edu,"Linguistics and Teaching English as a Second Language (TESL), BALAS"
Johnny Test44479,jt44479@illinois.edu,"Architecture, MARCH (Limited Standing and Professional concentrations)"
Johnny Test19026,jt19026@illinois.edu,"Econometrics & Quantitative Economics, BSLAS"
Johnny Test44795,jt44795@illinois.edu,"Spanish, MA"
Johnny Test11852,jt11852@illinois.edu,"Accountancy, BS"
Johnny Test13506,jt13506@illinois.edu,"Agricultural & Consumer Economics, BS"
Johnny Test24000,jt24000@illinois.edu,"Civil Engineering, BS"
Johnny Test28438,jt28438@illinois.edu,"Civil Engineering, BS"
Johnny Test43688,jt43688@illinois.edu,"Epidemiology, MPH"
Johnny Test33572,jt33572@illinois.edu,"Elementary Education, BS"
Johnny Test17781,jt17781@illinois.edu,"Comparative & World Literature, BALAS"
Johnny Test44640,jt44640@illinois.edu,"Curriculum & Instruction, EdM"
Johnny Test13718,jt13718@illinois.edu,"Industrial Engineering, BS"
Johnny Test16978,jt16978@illinois.edu,"East Asian Languages & Cultures, BALAS"
Johnny Test16376,jt16376@illinois.edu,"Chemistry, BSLAS"
Johnny Test13398,jt13398@illinois.edu,"Information Sciences, BS"
Johnny Test39314,jt39314@illinois.edu,"Comparative Literature, MA"
Johnny Test37250,jt37250@illinois.edu,"Curriculum & Instruction, CAS"
Johnny Test51949,jt51949@illinois.edu,"Translation & Interpreting, MA"
Johnny Test6337,jt6337@illinois.edu,"Crop Sciences, BS"
Johnny Test18077,jt18077@illinois.edu,"Landscape Architecture, BLA"
Johnny Test40522,jt40522@illinois.edu,"Ecology, Evolution, & Conservation Biology, PHD"
Johnny Test6548,jt6548@illinois.edu,"Biochemistry, BS"
Johnny Test39648,jt39648@illinois.edu,"Education Policy, Organization & Leadership, MA"
Johnny Test17672,jt17672@illinois.edu,"Recreation, Sport & Tourism, BS"
Johnny Test23586,jt23586@illinois.edu,"Mathematics, BSLAS"
Johnny Test36132,jt36132@illinois.edu,"Art & Art History, BFA"
Johnny Test17581,jt17581@illinois.edu,"Mechanical Engineering, BS"
Johnny Test2483,jt2483@illinois.edu,"Computer Science + Music, BS"
Johnny Test4525,jt4525@illinois.edu,"Computer Science, MS"
Johnny Test21024,jt21024@illinois.edu,"Information Sciences + Data Science, BS"
Johnny Test28394,jt28394@illinois.edu,"Studio Art, BFASA"
Johnny Test13867,jt13867@illinois.edu,"Mathematics, BSLAS"
Johnny Test54352,jt54352@illinois.edu,"Systems & Entrepreneurial Engineering, PhD"
Johnny Test40499,jt40499@illinois.edu,"Landscape Architecture, PhD"
Johnny Test6699,jt6699@illinois.edu,"Special Education, BS"
Johnny Test43326,jt43326@illinois.edu,"Environmental Engineering in Civil Engineering, MS"
Johnny Test41522,jt41522@illinois.edu,"Ecology, Evolution, & Conservation Biology, PHD"
Johnny Test35296,jt35296@illinois.edu,"History, BALAS"
Johnny Test50041,jt50041@illinois.edu,"Teaching of Physics, MS"
Johnny Test53658,jt53658@illinois.edu,"Anthropology, PhD"
Johnny Test15769,jt15769@illinois.edu,"Agricultural & Consumer Economics, BS"
Johnny Test26910,jt26910@illinois.edu,"Linguistics, BALAS"
Johnny Test40490,jt40490@illinois.edu,"Sociology, PhD"
Johnny Test45889,jt45889@illinois.edu,"Kinesiology, MS"
Johnny Test9765,jt9765@illinois.edu,"Gender & Women's Studies, BALAS"
Johnny Test2496,jt2496@illinois.edu,"Computer Science + Economics, BSLAS"
Johnny Test1964,jt1964@illinois.edu,"Computer Science + Linguistics, BSLAS"
Johnny Test23130,jt23130@illinois.edu,"Astronomy + Data Science, BSLAS"
Johnny Test1478,jt1478@illinois.edu,"Computer Science + Economics, BSLAS"
Johnny Test50444,jt50444@illinois.edu,"Curriculum & Instruction, MS"
Johnny Test9055,jt9055@illinois.edu,"Anthropology, BALAS"
Johnny Test15981,jt15981@illinois.edu,"Athletic Training, BS"
Johnny Test21814,jt21814@illinois.edu,"Physics, BS"
Johnny Test50654,jt50654@illinois.edu,"Art History, MA"
Johnny Test20864,jt20864@illinois.edu,"French, BALAS"
Johnny Test13649,jt13649@illinois.edu,"Music Education, BME"
Johnny Test21441,jt21441@illinois.edu,"Kinesiology, BS & Dance, BA"
Johnny Test32024,jt32024@illinois.edu,"Engineering Technology & Management for Agricultural Systems, BS"
Johnny Test7383,jt7383@illinois.edu,Chemistry Teaching
Johnny Test38719,jt38719@illinois.edu,"Law, LLM"
Johnny Test12862,jt12862@illinois.edu,"Econometrics & Quantitative Economics, BSLAS"
Johnny Test21827,jt21827@illinois.edu,"Interdisciplinary Health Sciences, BS"
Johnny Test17892,jt17892@illinois.edu,"Food Science, BS"
Johnny Test26594,jt26594@illinois.edu,"Human Development & Family Studies, BS"
Johnny Test3368,jt3368@illinois.edu,"Computer Science + Crop Sciences, BS"
Johnny Test22198,jt22198@illinois.edu,"Teaching of Spanish, BA"
Johnny Test38963,jt38963@illinois.edu,"Sustainable Urban Design, MSUD"
Johnny Test25105,jt25105@illinois.edu,"Global Studies, BALAS"
Johnny Test25598,jt25598@illinois.edu,"Engineering Technology & Management for Agricultural Systems, BS"
Johnny Test29078,jt29078@illinois.edu,"Journalism, BS"
Johnny Test37687,jt37687@illinois.edu,"Materials Engineering, MENG"
Johnny Test32131,jt32131@illinois.edu,"Comparative & World Literature, BALAS"
Johnny Test29194,jt29194@illinois.edu,"Astronomy, BSLAS"
Johnny Test27799,jt27799@illinois.edu,"Advertising, BS"
Johnny Test6181,jt6181@illinois.edu,"Sociology, BALAS"
Johnny Test12489,jt12489@illinois.edu,"Instrumental Music, BMUS"
Johnny Test30490,jt30490@illinois.edu,"Physics, BS"
Johnny Test25379,jt25379@illinois.edu,"History, BALAS"
Johnny Test17232,jt17232@illinois.edu,"Spanish, BALAS"
Johnny Test18579,jt18579@illinois.edu,"Aerospace Engineering, BS"
Johnny Test36675,jt36675@illinois.edu,"Graphic Design, BFA"
Johnny Test1516,jt1516@illinois.edu,"Statistics & Computer Science, BSLAS"
Johnny Test22691,jt22691@illinois.edu,"Finance + Data Science, BS"
Johnny Test20520,jt20520@illinois.edu,"Anthropology, BALAS"
Johnny Test45481,jt45481@illinois.edu,"Secondary Education, EdM"
Johnny Test49287,jt49287@illinois.edu,"Recreation, Sport & Tourism, PhD"
Johnny Test36545,jt36545@illinois.edu,Chemistry Teaching
Johnny Test15944,jt15944@illinois.edu,"Theatre, BFA"
Johnny Test41311,jt41311@illinois.edu,"Weather and Climate Risk and Analytics, MS"
Johnny Test16845,jt16845@illinois.edu,"Art Education, BFA"
Johnny Test38479,jt38479@illinois.edu,"Finance, PhD"
Johnny Test35731,jt35731@illinois.edu,"Supply Chain Management, BS"
Johnny Test21848,jt21848@illinois.edu,"Spanish (Teaching), BA"
Johnny Test42586,jt42586@illinois.edu,"VMS - Veterinary Clinical Medicine, MS"
Johnny Test309,jt309@illinois.edu,"Computer Science + Economics, BSLAS"
Johnny Test42786,jt42786@illinois.edu,"Health Technology, MS"
Johnny Test46492,jt46492@illinois.edu,"Civil Engineering, MS"
Johnny Test41611,jt41611@illinois.edu,"Ecology, Evolution, & Conservation Biology, PHD"
Johnny Test30172,jt30172@illinois.edu,"Athletic Training, BS"
Johnny Test15163,jt15163@illinois.edu,"Russian, East European, & Eurasian Studies, BALAS"
Johnny Test38706,jt38706@illinois.edu,"Teaching of Latin, MA"
Johnny Test38564,jt38564@illinois.edu,"Crop Sciences, PhD"
Johnny Test45150,jt45150@illinois.edu,"Teaching of Latin, MA"
Johnny Test4400,jt4400@illinois.edu,"Electrical & Computer Engineering, PhD"
Johnny Test24951,jt24951@illinois.edu,"Sustainability in Food & Environmental Systems, BS"
Johnny Test47438,jt47438@illinois.edu,"Music Education, PhD"
Johnny Test38522,jt38522@illinois.edu,"German, PhD"
Johnny Test28682,jt28682@illinois.edu,"Supply Chain Management, BS"
Johnny Test33413,jt33413@illinois.edu,"Spanish, BALAS"
Johnny Test1697,jt1697@illinois.edu,"Computer Science + Chemistry, BSLAS"
Johnny Test29471,jt29471@illinois.edu,"Dance, BFA"
Johnny Test16720,jt16720@illinois.edu,"Theatre, BFA"
Johnny Test5289,jt5289@illinois.edu,"Electrical & Computer Engineering, PhD"
Johnny Test15796,jt15796@illinois.edu,"Instrumental Music, BMUS"
Johnny Test26294,jt26294@illinois.edu,"Social Work, BSW"
Johnny Test39100,jt39100@illinois.edu,"Landscape Architecture, PhD"
Johnny Test51289,jt51289@illinois.edu,"Law, MSL"
Johnny Test11138,jt11138@illinois.edu,"Instrumental Music, BMUS"
Johnny Test10159,jt10159@illinois.edu,"Latina/Latino Studies, BALAS"
Johnny Test48985,jt48985@illinois.edu,"Communication, MA"
Johnny Test24238,jt24238@illinois.edu,"Strategy, Innovation and Entrepreneurship, BS"
Johnny Test16631,jt16631@illinois.edu,"Open Studies, BMUS"
Johnny Test43111,jt43111@illinois.edu,"Human Resources & Industrial Relations, PhD"
Johnny Test13056,jt13056@illinois.edu,"Dance, BA & Kinesiology, BS (Dual Degree Program)"
Johnny Test15431,jt15431@illinois.edu,"Sociology, BALAS"
Johnny Test1951,jt1951@illinois.edu,"Computer Engineering, BS"
Johnny Test9582,jt9582@illinois.edu,"Agronomy, BS"
Johnny Test11920,jt11920@illinois.edu,"Linguistics, BALAS"
Johnny Test48419,jt48419@illinois.edu,"Environmental Engineering in Civil Engineering, MS"
Johnny Test7135,jt7135@illinois.edu,"Civil Engineering, BS"
Johnny Test48013,jt48013@illinois.edu,"Applied Mathematics, MS"
Johnny Test34501,jt34501@illinois.edu,"Dietetics and Nutrition, BS"
Johnny Test3143,jt3143@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test50858,jt50858@illinois.edu,"Food Science & Human Nutrition, MS - Professional Science Master’s"
Johnny Test30221,jt30221@illinois.edu,"Linguistics and Teaching English as a Second Language (TESL), BALAS"
Johnny Test53434,jt53434@illinois.edu,"Advertising, MS"
Johnny Test31093,jt31093@illinois.edu,"History of Art, BALAS"
Johnny Test40058,jt40058@illinois.edu,"Biology, PhD"
Johnny Test41135,jt41135@illinois.edu,"Finance, MS"
Johnny Test13695,jt13695@illinois.edu,"Recreation, Sport & Tourism, BS"
Johnny Test38606,jt38606@illinois.edu,"Curriculum & Instruction, PhD"
Johnny Test53067,jt53067@illinois.edu,"Social Work, PhD"
Johnny Test20534,jt20534@illinois.edu,"East Asian Languages & Cultures, BALAS"
Johnny Test9247,jt9247@illinois.edu,"Teaching of Spanish, BA"
Johnny Test1321,jt1321@illinois.edu,"Computer Science + Music, BS"
Johnny Test27793,jt27793@illinois.edu,"Portuguese, BALAS"
Johnny Test15918,jt15918@illinois.edu,"Agricultural & Consumer Economics, BS"
Johnny Test38251,jt38251@illinois.edu,"Crop Sciences, MS"
Johnny Test18262,jt18262@illinois.edu,"Mathematics, BSLAS"
Johnny Test11357,jt11357@illinois.edu,"Statistics, BSLAS"
Johnny Test45883,jt45883@illinois.edu,"Mechanical Engineering, PhD"
Johnny Test2836,jt2836@illinois.edu,"Computer Science + Anthropology, BSLAS"
Johnny Test52164,jt52164@illinois.edu,"Social Work, PhD"
Johnny Test39395,jt39395@illinois.edu,"Sociology, MA"
Johnny Test18755,jt18755@illinois.edu,"Information Sciences + Data Science, BS"
Johnny Test5254,jt5254@illinois.edu,"Computer Science, PhD"
Johnny Test20399,jt20399@illinois.edu,"Industrial Engineering, BS"
Johnny Test2383,jt2383@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test47635,jt47635@illinois.edu,"Music, AD"
Johnny Test28690,jt28690@illinois.edu,"Information Systems, BS"
Johnny Test3080,jt3080@illinois.edu,"Computer Science + Physics, BS"
Johnny Test17657,jt17657@illinois.edu,"Italian, BALAS"
Johnny Test1140,jt1140@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test22563,jt22563@illinois.edu,"Finance + Data Science, BS"
Johnny Test44684,jt44684@illinois.edu,"VMS - Pathobiology, PhD"
Johnny Test3131,jt3131@illinois.edu,"Computer Engineering, BS"
Johnny Test21123,jt21123@illinois.edu,"Global Studies, BALAS"
Johnny Test17192,jt17192@illinois.edu,"Finance, BS"
Johnny Test16491,jt16491@illinois.edu,"Kinesiology, BS"
Johnny Test12261,jt12261@illinois.edu,"Dance, BFA"
Johnny Test12492,jt12492@illinois.edu,"Agricultural & Biological Engineering, BS and Agricultural & Biological Engineering, BSAG (Dual Degree Program)"
Johnny Test32060,jt32060@illinois.edu,"Learning & Education Studies, BS"
Johnny Test19020,jt19020@illinois.edu,"Kinesiology, BS & Public Health, MPH"
Johnny Test45344,jt45344@illinois.edu,"Materials Science & Engineering, PhD"
Johnny Test38732,jt38732@illinois.edu,"History, PhD"
Johnny Test14735,jt14735@illinois.edu,"Comparative & World Literature, BALAS"
Johnny Test18211,jt18211@illinois.edu,"Asian American Studies, BALAS"
Johnny Test9969,jt9969@illinois.edu,"Instrumental Music, BMUS"
Johnny Test35476,jt35476@illinois.edu,"German (Teaching), BA"
Johnny Test26274,jt26274@illinois.edu,"Molecular & Cellular Biology, BSLAS"
Johnny Test2470,jt2470@illinois.edu,"Computer Science + Geography & Geographic Information Science, BSLAS"
Johnny Test28121,jt28121@illinois.edu,"Agronomy, BS"
Johnny Test18793,jt18793@illinois.edu,"Instrumental Music, BMUS"
Johnny Test2876,jt2876@illinois.edu,"Computer Science + Anthropology, BSLAS"
Johnny Test33864,jt33864@illinois.edu,"Environmental Engineering, BS"
Johnny Test53276,jt53276@illinois.edu,"Sustainable Urban Design, MSUD"
Johnny Test45500,jt45500@illinois.edu,"Applied Mathematics, MS"
Johnny Test38372,jt38372@illinois.edu,"Cell and Developmental Biology, PhD"
Johnny Test36685,jt36685@illinois.edu,"Innovation, Leadership & Engineering Entrepreneurship, BS (ILEE)"
Johnny Test33096,jt33096@illinois.edu,"Community Health, BS & Public Health, MPH"
Johnny Test19852,jt19852@illinois.edu,"Open Studies, BMUS"
Johnny Test37248,jt37248@illinois.edu,"Philosophy, PhD"
Johnny Test24663,jt24663@illinois.edu,"Athletic Training, BS"
Johnny Test12964,jt12964@illinois.edu,"Religion, BALAS"
Johnny Test37850,jt37850@illinois.edu,"Epidemiology, MPH"
Johnny Test25870,jt25870@illinois.edu,"Early Childhood Education, BS"
Johnny Test54711,jt54711@illinois.edu,"VMS - Comparative Biosciences, PhD"
Johnny Test50456,jt50456@illinois.edu,"Epidemiology, MPH"
Johnny Test54560,jt54560@illinois.edu,"Art History, PhD"
Johnny Test23071,jt23071@illinois.edu,"Geography & Geographic Information Science, BSLAS"
